date,Open,High,Low,close,Adj Close,Volume
2002-12-06,7.800000,8.640000,7.780000,8.580000,5.354079,27551000
2002-12-09,8.540000,8.560000,8.228000,8.404000,5.244252,3149500
2002-12-10,8.410000,8.660000,8.330000,8.550000,5.335357,1723000
2002-12-11,8.540000,9.100000,8.460000,9.012000,5.623654,2549000
2002-12-12,9.012000,9.012000,8.720000,8.782000,5.480131,1355500
2002-12-13,8.782000,8.794000,8.650000,8.730000,5.447683,987500
2002-12-16,8.700000,8.750000,8.590000,8.620000,5.379041,798000
2002-12-17,8.600000,8.800000,8.560000,8.654000,5.400256,1646000
2002-12-18,8.640000,8.640000,8.510000,8.534000,5.325374,742000
2002-12-19,8.510000,8.540000,8.434000,8.460000,5.279197,684000
2002-12-20,8.480000,8.920000,8.400000,8.890000,5.547525,904500
2002-12-23,8.870000,8.910000,8.670000,8.680000,5.416481,638500
2002-12-24,8.720000,8.720000,8.592000,8.610000,5.372799,218000
2002-12-26,8.620000,8.630000,8.510000,8.520000,5.316638,325000
2002-12-27,8.500000,8.500000,8.350000,8.400000,5.241755,830500
2002-12-30,8.460000,8.570000,8.420000,8.464000,5.281693,1076500
2002-12-31,8.454000,8.760000,8.454000,8.732000,5.448931,1778000
2003-01-02,8.732000,8.790000,8.690000,8.744000,5.456419,315000
2003-01-03,8.744000,9.160000,8.704000,9.160000,5.716009,861500
2003-01-06,9.006000,9.670000,9.006000,9.620000,6.003059,1874500
2003-01-07,9.600000,9.720000,9.450000,9.604000,5.993075,1383000
2003-01-08,9.606000,9.654000,9.534000,9.602000,5.991826,411000
2003-01-09,9.620000,9.840000,9.532000,9.810000,6.121625,649000
2003-01-10,9.770000,9.870000,9.742000,9.798000,6.114136,844000
2003-01-13,9.800000,9.936000,9.774000,9.924000,6.192760,810000
2003-01-14,9.924000,10.000000,9.814000,9.820000,6.127863,554000
2003-01-15,9.680000,9.680000,9.352000,9.410000,5.872016,1459000
2003-01-16,9.400000,9.400000,9.054000,9.076000,5.663593,725000
2003-01-17,9.050000,9.104000,8.960000,9.004000,5.618663,590500
2003-01-21,9.010000,9.040000,8.852000,8.890000,5.547525,468000
2003-01-22,8.860000,8.880000,8.820000,8.830000,5.510083,163500
2003-01-23,8.840000,9.150000,8.826000,9.086000,5.669833,476000
2003-01-24,9.070000,9.420000,9.000000,9.398000,5.864526,685000
2003-01-27,9.358000,9.380000,9.240000,9.250000,5.772172,209000
2003-01-28,9.260000,9.316000,9.200000,9.202000,5.742219,364500
2003-01-29,9.180000,9.400000,9.152000,9.300000,5.803374,401500
2003-01-30,9.300000,9.318000,8.760000,8.840000,5.516324,735000
2003-01-31,8.800000,8.810000,8.402000,8.500000,5.304155,2886000
2003-02-03,8.490000,8.580000,8.432000,8.470000,5.285435,780000
2003-02-04,8.440000,8.440000,8.310000,8.400000,5.241755,740000
2003-02-05,8.390000,8.400000,8.270000,8.348000,5.209307,1159000
2003-02-06,8.340000,8.404000,8.290000,8.300000,5.179355,1077500
2003-02-07,8.320000,8.430000,8.310000,8.422000,5.255484,744500
2003-02-10,8.422000,8.680000,8.410000,8.600000,5.366560,278500
2003-02-11,8.600000,8.706000,8.580000,8.582000,5.355330,222500
2003-02-12,8.550000,8.590000,8.496000,8.582000,5.355330,355500
2003-02-13,8.570000,8.744000,8.564000,8.700000,5.428962,265500
2003-02-14,8.740000,8.960000,8.740000,8.900000,5.553765,958000
2003-02-18,8.950000,8.960000,8.830000,8.904000,5.556263,753500
2003-02-19,8.906000,9.000000,8.880000,8.954000,5.587462,420500
2003-02-20,8.960000,9.020000,8.940000,9.006000,5.619915,159000
2003-02-21,9.008000,9.132000,9.000000,9.072000,5.661095,206000
2003-02-24,9.000000,9.160000,9.000000,9.108000,5.683560,182500
2003-02-25,9.100000,9.160000,9.070000,9.144000,5.706028,144500
2003-02-26,9.148000,9.200000,9.020000,9.068000,5.658599,214000
2003-02-27,9.048000,9.050000,8.660000,8.660000,5.404002,945000
2003-02-28,8.650000,8.760000,8.574000,8.610000,5.372799,565000
2003-03-03,8.612000,8.712000,8.600000,8.626000,5.382784,211000
2003-03-04,8.620000,8.648000,8.564000,8.564000,5.344096,151000
2003-03-05,8.566000,8.592000,8.440000,8.450000,5.272958,269500
2003-03-06,8.422000,8.530000,8.422000,8.468000,5.301757,352500
2003-03-07,8.470000,8.548000,8.442000,8.466000,5.300505,175500
2003-03-10,8.456000,8.532000,8.454000,8.472000,5.304264,163000
2003-03-11,8.474000,8.540000,8.434000,8.454000,5.292993,104500
2003-03-12,8.480000,8.510000,8.380000,8.476000,5.306766,312000
2003-03-13,8.500000,8.540000,8.482000,8.504000,5.324296,204000
2003-03-14,8.500000,8.680000,8.500000,8.640000,5.409444,471500
2003-03-17,8.640000,9.238000,8.640000,9.190000,5.753796,607000
2003-03-18,9.194000,9.366000,9.140000,9.210000,5.766319,478500
2003-03-19,9.220000,9.390000,9.220000,9.390000,5.879016,149500
2003-03-20,9.392000,9.392000,9.110000,9.110000,5.703711,571000
2003-03-21,9.140000,9.426000,9.140000,9.420000,5.897799,632500
2003-03-24,9.400000,9.642000,9.346000,9.600000,6.010496,1112000
2003-03-25,9.590000,9.710000,9.590000,9.686000,6.064338,545500
2003-03-26,9.680000,9.782000,9.680000,9.700000,6.073102,1076000
2003-03-27,9.680000,9.780000,9.560000,9.780000,6.123192,777500
2003-03-28,9.760000,9.760000,9.680000,9.730000,6.091884,306500
2003-03-31,9.710000,9.710000,9.552000,9.630000,6.029280,435000
2003-04-01,9.632000,9.638000,9.516000,9.594000,6.006737,232000
2003-04-02,9.474000,9.660000,9.446000,9.632000,6.030529,536000
2003-04-03,9.640000,9.840000,9.640000,9.656000,6.045556,633000
2003-04-04,9.670000,9.760000,9.652000,9.680000,6.060581,321500
2003-04-07,9.740000,9.770000,9.334000,9.340000,5.847711,1109500
2003-04-08,9.320000,9.354000,9.230000,9.292000,5.817660,398000
2003-04-09,9.310000,9.380000,9.250000,9.350000,5.853970,390000
2003-04-10,9.360000,9.430000,9.310000,9.424000,5.900302,224500
2003-04-11,9.440000,9.440000,9.326000,9.354000,5.856475,178500
2003-04-14,9.354000,9.520000,9.340000,9.502000,5.949138,212500
2003-04-15,9.494000,9.534000,9.486000,9.500000,5.947886,198500
2003-04-16,9.510000,9.582000,9.504000,9.522000,5.961658,280000
2003-04-17,9.722000,9.934000,9.708000,9.808000,6.140723,1067500
2003-04-21,9.768000,9.778000,9.654000,9.744000,6.100655,243500
2003-04-22,9.802000,10.110000,9.636000,9.958000,6.234636,1607000
2003-04-23,10.058000,10.250000,10.000000,10.100000,6.323542,1540000
2003-04-24,10.100000,10.320000,10.100000,10.320000,6.461281,644000
2003-04-25,10.320000,10.540000,10.320000,10.490000,6.567718,905000
2003-04-28,10.530000,11.238000,10.530000,11.080000,6.937113,2717500
2003-04-29,11.082000,11.224000,10.956000,11.130000,6.968418,1455000
2003-04-30,11.120000,11.350000,11.024000,11.308000,7.079862,885500
2003-05-01,11.308000,11.360000,11.156000,11.156000,6.984698,1156500
2003-05-02,11.130000,11.498000,11.130000,11.400000,7.137463,740500
2003-05-05,11.410000,11.600000,11.332000,11.360000,7.112421,693000
2003-05-06,11.360000,11.360000,11.206000,11.300000,7.074852,661000
2003-05-07,11.260000,11.320000,11.060000,11.120000,6.962155,704500
2003-05-08,11.080000,11.116000,10.990000,11.076000,6.934605,707000
2003-05-09,11.100000,11.260000,11.010000,11.144000,6.977182,461000
2003-05-12,11.130000,11.450000,11.100000,11.340000,7.099895,457500
2003-05-13,11.320000,11.800000,11.320000,11.720000,7.337813,1083500
2003-05-14,11.708000,11.848000,11.668000,11.698000,7.324039,763000
2003-05-15,11.690000,11.774000,11.640000,11.724000,7.340318,279500
2003-05-16,11.714000,12.000000,11.620000,12.000000,7.513115,498000
2003-05-19,11.880000,11.898000,11.674000,11.710000,7.331553,547500
2003-05-20,11.690000,11.860000,11.690000,11.708000,7.330301,461500
2003-05-21,11.690000,11.840000,11.612000,11.834000,7.409184,355000
2003-05-22,11.884000,12.040000,11.860000,11.940000,7.475548,583000
2003-05-23,11.950000,12.046000,11.944000,12.036000,7.535657,161000
